Timestamp,Your preferred/playa name,Title of Event,Event Description,Type of Event,Is your event family friendly?,At what time does the event start,For how long does the event run,What day(s) is the event occurring,Location,All-day events
01/07/2019 00:27:43,Captain Carma,Introduction to Tea & herbal infusions,"Get a unique glimpse into the 5000 year old tradition of brewing tea. Learn to brew with different water & temperatures. Learn about medical effects of adaptogenic herbs. japanese sencha, oolong & black teas. How to harvest your own medical herbal infusions and chaga mushroom tea

After attending this workshop you are welcome to join the tea rebellion & sign up for shifts in our tea house",Workshop/Class,Yes 🧸,16:00:00,2:00:00,Tuesday 23.,Tea By the SEA,
01/07/2019 00:29:31,Captain Carma,Magick Ritual Workshop,Magick is the science and art of causing change to occur in conformity with will. Rituals of magick makes it possible to influence the subtle forces that tie the microcosm and the macrocosm together. It gives you access to deeper levels of your psyche and opens up paths to better resonate with the Universe. Come to Tea by the Sea to learn how it works.,Workshop/Class,Nooooope 💦,12:03:00,1:30:00,Tuesday 23.,Tea By the SEA,
01/07/2019 10:30:37,Giles,Help Get The Dome Up,"Get the Dome up - Please come and help elevate one of our community centres- The Space Dome.. no building experience necessary, all monkeys welcome. 10-12",Ritual/Ceremony,Yes 🧸,10:00:00,2:00:00,Build day 7 (21.),The Space Zirkus,
01/07/2019 05:10:35,Tomy Jama,DJing for beginners,"Here is your chance to DJ on a professional sound system in a relaxed, cozy and fun atmosphere. Deaf Punk and Tiësto from the Muumimaa Sound Stage will take you through you the basics of beat matching, how a controller works, how to develop your style, organizing your music and more. Wednesday from 4-6pm in M5",Workshop/Class,🤷‍♀️,16:00:00,2:00:00,Wednesday 24.,Muumimaa Stage,
01/07/2019 05:16:09,DiscO,Rebirth of the womb,"A ritual of rebirth. Leave this life behind and get ready for a second shot! Enter the womb and let your new mothers take care of you while experiencing the miracle of rebirth and recharging your energy. We're here to nurture, take care of, and massage you, if you will submit.",Ritual/Ceremony,Yes 🧸,11:00:00,2:00:00,Wednesday 24.,[re]connect,
01/07/2019 09:19:13,Moa,Breakfast-club,"We will serve breakfast, coffee and good company ",Food,Yes 🧸,09:00:00,3:00:00,"Tuesday 23., Thursday 25., Friday 26.",The coulor café,
01/07/2019 10:02:32,Keeegs,Burners in business,"Do you run a business and want to be more burner about it? Have an idea but no idea where to start? Just plain stuck? Or do you want to just connect with more burners in business? 

This is the space for you! 

This is a conversation as we explore some of the challengers and discuss the amazing possibilities and see where we end up!
",Workshop/Class,Yes 🧸,13:00:00,2:00:00,Thursday 25.,The Black Light Lounge,
01/07/2019 10:33:53,Runya'over,The Norwegian meetup!,"Do you identify as Norwegian, or are you Norwegiancurious? Come and meet other similar minded people! 
And while we are at it, let's make a proper goddam burner community!
Ps. Det blir vafler me' brunost ♡",Party/Gathering,Yes 🧸,00:00:00,1:30:12,Tuesday 23.,[re]connect,
01/07/2019 11:32:14,Antesa Jensen,Consent & Boundaries Part II: Others,"This workshop will consist of interactive teaching and exercises as a means to understand, explore, and integrate what consent **in other people's bodies** feels like, as well as practical tools for how to relate to and honor **other people's** boundaries in relationship. This workshop is for you if you'd like to move toward mastery of energetic and emotional boundaries in your relationships.",Workshop/Class,Yes 🧸,10:30:00,2:30:00,Wednesday 24.,TEMPLE OF VISIONS,
01/07/2019 11:32:26,Antesa Jensen,Consent & Boundaries Part I: Self,"This workshop will consist of interactive teaching and exercises as a means to understand, explore, and integrate what consent **in our own bodies** feels like, as well as practical tools for how to practice and honor our **own** boundaries in relationship with others. This workshop is for you if you'd like to move toward mastery of energetic and emotional boundaries in your own practice.",Workshop/Class,Yes 🧸,10:30:00,2:30:00,Tuesday 23.,TEMPLE OF VISIONS,
